repository_name,file_name,file_created_by,file_line_count,file_creation_date,file_commit_count,commit_message,commit_created_by,commit_changed_lines,commit_date
TheAlgorithms/Python,algorithms/sorting/quick_sort.py,AI,45,2024-01-15T10:30:00,12,Initial implementation of quick sort,AI,45,2024-01-15T10:30:00
TheAlgorithms/Python,algorithms/sorting/quick_sort.py,AI,45,2024-01-15T10:30:00,12,Fix edge case for empty arrays,Human,3,2024-01-20T14:22:10
TheAlgorithms/Python,algorithms/sorting/quick_sort.py,AI,45,2024-01-15T10:30:00,12,Add type hints,Human,8,2024-02-01T09:15:33
TheAlgorithms/Python,algorithms/sorting/quick_sort.py,AI,45,2024-01-15T10:30:00,12,Optimize partition function,AI,12,2024-02-10T16:45:22
TheAlgorithms/Python,algorithms/sorting/quick_sort.py,AI,45,2024-01-15T10:30:00,12,Update docstring,Human,5,2024-03-05T11:20:00
TheAlgorithms/Python,utils/helper.py,Human,120,2023-11-20T08:00:00,25,Create helper utilities,Human,120,2023-11-20T08:00:00
TheAlgorithms/Python,utils/helper.py,Human,120,2023-11-20T08:00:00,25,Add validation functions,Human,30,2023-12-01T13:40:15
TheAlgorithms/Python,utils/helper.py,Human,120,2023-11-20T08:00:00,25,Refactor error handling,Human,15,2024-01-10T10:10:10
TheAlgorithms/Python,utils/helper.py,Human,120,2023-11-20T08:00:00,25,Fix typo in function name,AI,2,2024-02-15T14:30:00
tensorflow/tensorflow,tensorflow/python/ops/array_ops.py,AI,580,2023-10-05T15:20:00,48,Add new array operation,AI,580,2023-10-05T15:20:00
tensorflow/tensorflow,tensorflow/python/ops/array_ops.py,AI,580,2023-10-05T15:20:00,48,Performance optimization,Human,25,2023-10-12T09:30:00
tensorflow/tensorflow,tensorflow/python/ops/array_ops.py,AI,580,2023-10-05T15:20:00,48,Add unit tests,Human,150,2023-10-20T11:00:00
tensorflow/tensorflow,tensorflow/python/ops/array_ops.py,AI,580,2023-10-05T15:20:00,48,Fix memory leak,AI,8,2023-11-01T16:45:00
