repository_name,file_name,file_creators,file_created_by,file_line_count,file_creation_date,file_commit_count,commit_hash,commit_authors,commit_created_by,commit_changed_lines,commit_date
microsoft/vscode,src/vs/editor/contrib/inlineCompletions/browser/ghostTextWidget.ts,copilot,AI,245,2025-01-15T10:23:45,34,a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6q7r8s9t0,copilot,AI,12,2025-03-10T14:30:22
microsoft/vscode,src/vs/editor/contrib/inlineCompletions/browser/ghostTextWidget.ts,copilot,AI,245,2025-01-15T10:23:45,34,b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6q7r8s9t0a1,John Doe,Human,8,2025-03-12T09:15:33
microsoft/vscode,src/vs/editor/contrib/inlineCompletions/browser/ghostTextWidget.ts,copilot,AI,245,2025-01-15T10:23:45,34,c3d4e5f6g7h8i9j0k1l2m3n4o5p6q7r8s9t0a1b2,Jane Smith,Human,25,2025-04-05T16:45:10
microsoft/vscode,src/vs/workbench/contrib/terminal/browser/terminalInstance.ts,Alice Johnson,Human,512,2025-02-03T08:12:30,28,d4e5f6g7h8i9j0k1l2m3n4o5p6q7r8s9t0a1b2c3,Alice Johnson,Human,45,2025-02-10T11:20:15
microsoft/vscode,src/vs/workbench/contrib/terminal/browser/terminalInstance.ts,Alice Johnson,Human,512,2025-02-03T08:12:30,28,e5f6g7h8i9j0k1l2m3n4o5p6q7r8s9t0a1b2c3d4,Bob Williams,Human,18,2025-03-01T13:50:42
microsoft/vscode,src/vs/workbench/contrib/terminal/browser/terminalInstance.ts,Alice Johnson,Human,512,2025-02-03T08:12:30,28,f6g7h8i9j0k1l2m3n4o5p6q7r8s9t0a1b2c3d4e5,copilot,AI,7,2025-03-15T10:05:28
facebook/react,packages/react-reconciler/src/ReactFiberWorkLoop.js,cursor,AI,1823,2025-01-08T15:40:12,56,g7h8i9j0k1l2m3n4o5p6q7r8s9t0a1b2c3d4e5f6,cursor,AI,92,2025-01-20T09:30:15
facebook/react,packages/react-reconciler/src/ReactFiberWorkLoop.js,cursor,AI,1823,2025-01-08T15:40:12,56,h8i9j0k1l2m3n4o5p6q7r8s9t0a1b2c3d4e5f6g7,David Chen,Human,34,2025-02-14T14:22:50
facebook/react,packages/react-reconciler/src/ReactFiberWorkLoop.js,cursor,AI,1823,2025-01-08T15:40:12,56,i9j0k1l2m3n4o5p6q7r8s9t0a1b2c3d4e5f6g7h8,cursor,AI,15,2025-03-08T11:18:33
facebook/react,packages/react-dom/src/client/ReactDOMRoot.js,Sarah Lee,Human,687,2025-01-22T12:35:18,42,j0k1l2m3n4o5p6q7r8s9t0a1b2c3d4e5f6g7h8i9,Sarah Lee,Human,28,2025-02-01T10:45:20
facebook/react,packages/react-dom/src/client/ReactDOMRoot.js,Sarah Lee,Human,687,2025-01-22T12:35:18,42,k1l2m3n4o5p6q7r8s9t0a1b2c3d4e5f6g7h8i9j0,Michael Brown,Human,52,2025-02-18T16:12:45
facebook/react,packages/react-dom/src/client/ReactDOMRoot.js,Sarah Lee,Human,687,2025-01-22T12:35:18,42,l2m3n4o5p6q7r8s9t0a1b2c3d4e5f6g7h8i9j0k1,copilot,AI,9,2025-03-05T08:55:12
vercel/next.js,packages/next/src/server/lib/router-server.ts,claude,AI,1456,2025-01-12T09:18:25,67,m3n4o5p6q7r8s9t0a1b2c3d4e5f6g7h8i9j0k1l2,claude,AI,78,2025-01-25T13:40:30
vercel/next.js,packages/next/src/server/lib/router-server.ts,claude,AI,1456,2025-01-12T09:18:25,67,n4o5p6q7r8s9t0a1b2c3d4e5f6g7h8i9j0k1l2m3,Emily Davis,Human,42,2025-02-08T15:28:17
vercel/next.js,packages/next/src/server/lib/router-server.ts,claude,AI,1456,2025-01-12T09:18:25,67,o5p6q7r8s9t0a1b2c3d4e5f6g7h8i9j0k1l2m3n4,James Wilson,Human,61,2025-03-20T11:05:50
vercel/next.js,packages/next/src/client/components/app-router.tsx,Tom Anderson,Human,923,2025-02-05T14:22:40,38,p6q7r8s9t0a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5,Tom Anderson,Human,35,2025-02-12T09:15:22
vercel/next.js,packages/next/src/client/components/app-router.tsx,Tom Anderson,Human,923,2025-02-05T14:22:40,38,q7r8s9t0a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6,cursor,AI,14,2025-03-01T16:42:18
vercel/next.js,packages/next/src/client/components/app-router.tsx,Tom Anderson,Human,923,2025-02-05T14:22:40,38,r8s9t0a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6q7,Linda Martinez,Human,27,2025-03-18T10:30:55
